Week,Game,Winner,Points,User,Picked_Team,Status,Points_Earned
1,DAL @ PHI,PHI,2,alan_v.,PHI,Correct,2
1,KC @ LAC,LAC,2,alan_v.,KC,Incorrect,0
1,TB @ ATL,TB,1,alan_v.,TB,Correct,1
1,CIN @ CLE,CIN,1,alan_v.,CIN,Correct,1
1,MIA @ IND,IND,1,alan_v.,IND,Correct,1
1,LV @ NE,LV,1,alan_v.,NE,Incorrect,0
1,ARI @ NO,ARI,1,alan_v.,ARI,Correct,1
1,NYG @ WAS,WAS,1,alan_v.,WAS,Correct,1
1,PIT @ NYJ,PIT,1,alan_v.,PIT,Correct,1
1,CAR @ JAC,JAC,1,alan_v.,JAC,Correct,1
1,TEN @ DEN,DEN,1,alan_v.,DEN,Correct,1
1,SF @ SEA,SF,1,alan_v.,SF,Correct,1
1,DET @ GB,GB,1,alan_v.,DET,Incorrect,0
1,HOU @ LA,LA,1,alan_v.,LA,Correct,1
1,BAL @ BUF,BUF,1,alan_v.,BUF,Correct,1
1,MIN @ CHI,MIN,2,alan_v.,CHI,Incorrect,0
1,DAL @ PHI,PHI,2,ben,PHI,Correct,2
1,KC @ LAC,LAC,2,ben,LAC,Correct,2
1,TB @ ATL,TB,1,ben,TB,Correct,1
1,CIN @ CLE,CIN,1,ben,CIN,Correct,1
1,MIA @ IND,IND,1,ben,MIA,Incorrect,0
1,LV @ NE,LV,1,ben,LV,Correct,1
1,ARI @ NO,ARI,1,ben,ARI,Correct,1
1,NYG @ WAS,WAS,1,ben,WAS,Correct,1
1,PIT @ NYJ,PIT,1,ben,PIT,Correct,1
1,CAR @ JAC,JAC,1,ben,JAC,Correct,1
1,TEN @ DEN,DEN,1,ben,DEN,Correct,1
1,SF @ SEA,SF,1,ben,SF,Correct,1
1,DET @ GB,GB,1,ben,DET,Incorrect,0
1,HOU @ LA,LA,1,ben,HOU,Incorrect,0
1,BAL @ BUF,BUF,1,ben,BUF,Correct,1
1,MIN @ CHI,MIN,2,ben,MIN,Correct,2
1,DAL @ PHI,PHI,2,david,PHI,Correct,2
1,KC @ LAC,LAC,2,david,KC,Incorrect,0
1,TB @ ATL,TB,1,david,TB,Correct,1
1,CIN @ CLE,CIN,1,david,CIN,Correct,1
1,MIA @ IND,IND,1,david,MIA,Incorrect,0
1,LV @ NE,LV,1,david,NE,Incorrect,0
1,ARI @ NO,ARI,1,david,ARI,Correct,1
1,NYG @ WAS,WAS,1,david,WAS,Correct,1
1,PIT @ NYJ,PIT,1,david,PIT,Correct,1
1,CAR @ JAC,JAC,1,david,CAR,Incorrect,0
1,TEN @ DEN,DEN,1,david,DEN,Correct,1
1,SF @ SEA,SF,1,david,SEA,Incorrect,0
1,DET @ GB,GB,1,david,DET,Incorrect,0
1,HOU @ LA,LA,1,david,LA,Correct,1
1,BAL @ BUF,BUF,1,david,BUF,Correct,1
1,MIN @ CHI,MIN,2,david,MIN,Correct,2
1,DAL @ PHI,PHI,2,denny,DAL,Incorrect,0
1,KC @ LAC,LAC,2,denny,LAC,Correct,2
1,TB @ ATL,TB,1,denny,ATL,Incorrect,0
1,CIN @ CLE,CIN,1,denny,CLE,Incorrect,0
1,MIA @ IND,IND,1,denny,MIA,Incorrect,0
1,LV @ NE,LV,1,denny,NE,Incorrect,0
1,ARI @ NO,ARI,1,denny,ARI,Correct,1
1,NYG @ WAS,WAS,1,denny,WAS,Correct,1
1,PIT @ NYJ,PIT,1,denny,PIT,Correct,1
1,CAR @ JAC,JAC,1,denny,JAC,Correct,1
1,TEN @ DEN,DEN,1,denny,DEN,Correct,1
1,SF @ SEA,SF,1,denny,SF,Correct,1
1,DET @ GB,GB,1,denny,DET,Incorrect,0
1,HOU @ LA,LA,1,denny,HOU,Incorrect,0
1,BAL @ BUF,BUF,1,denny,BUF,Correct,1
1,MIN @ CHI,MIN,2,denny,CHI,Incorrect,0
1,DAL @ PHI,PHI,2,ethan,PHI,Correct,2
1,KC @ LAC,LAC,2,ethan,KC,Incorrect,0
1,TB @ ATL,TB,1,ethan,ATL,Incorrect,0
1,CIN @ CLE,CIN,1,ethan,CIN,Correct,1
1,MIA @ IND,IND,1,ethan,MIA,Incorrect,0
1,LV @ NE,LV,1,ethan,LV,Correct,1
1,ARI @ NO,ARI,1,ethan,ARI,Correct,1
1,NYG @ WAS,WAS,1,ethan,WAS,Correct,1
1,PIT @ NYJ,PIT,1,ethan,NYJ,Incorrect,0
1,CAR @ JAC,JAC,1,ethan,CAR,Incorrect,0
1,TEN @ DEN,DEN,1,ethan,DEN,Correct,1
1,SF @ SEA,SF,1,ethan,SEA,Incorrect,0
1,DET @ GB,GB,1,ethan,DET,Incorrect,0
1,HOU @ LA,LA,1,ethan,HOU,Incorrect,0
1,BAL @ BUF,BUF,1,ethan,BUF,Correct,1
1,MIN @ CHI,MIN,2,ethan,MIN,Correct,2
1,DAL @ PHI,PHI,2,hilary,PHI,Correct,2
1,KC @ LAC,LAC,2,hilary,KC,Incorrect,0
1,TB @ ATL,TB,1,hilary,ATL,Incorrect,0
1,CIN @ CLE,CIN,1,hilary,CIN,Correct,1
1,MIA @ IND,IND,1,hilary,MIA,Incorrect,0
1,LV @ NE,LV,1,hilary,LV,Correct,1
1,ARI @ NO,ARI,1,hilary,NO,Incorrect,0
1,NYG @ WAS,WAS,1,hilary,WAS,Correct,1
1,PIT @ NYJ,PIT,1,hilary,PIT,Correct,1
1,CAR @ JAC,JAC,1,hilary,CAR,Incorrect,0
1,TEN @ DEN,DEN,1,hilary,DEN,Correct,1
1,SF @ SEA,SF,1,hilary,SEA,Incorrect,0
1,DET @ GB,GB,1,hilary,GB,Correct,1
1,HOU @ LA,LA,1,hilary,HOU,Incorrect,0
1,BAL @ BUF,BUF,1,hilary,BAL,Incorrect,0
1,MIN @ CHI,MIN,2,hilary,CHI,Incorrect,0
1,DAL @ PHI,PHI,2,jamie,PHI,Correct,2
1,KC @ LAC,LAC,2,jamie,KC,Incorrect,0
1,TB @ ATL,TB,1,jamie,TB,Correct,1
1,CIN @ CLE,CIN,1,jamie,CIN,Correct,1
1,MIA @ IND,IND,1,jamie,MIA,Incorrect,0
1,LV @ NE,LV,1,jamie,NE,Incorrect,0
1,ARI @ NO,ARI,1,jamie,ARI,Correct,1
1,NYG @ WAS,WAS,1,jamie,WAS,Correct,1
1,PIT @ NYJ,PIT,1,jamie,PIT,Correct,1
1,CAR @ JAC,JAC,1,jamie,JAC,Correct,1
1,TEN @ DEN,DEN,1,jamie,DEN,Correct,1
1,SF @ SEA,SF,1,jamie,SF,Correct,1
1,DET @ GB,GB,1,jamie,DET,Incorrect,0
1,HOU @ LA,LA,1,jamie,HOU,Incorrect,0
1,BAL @ BUF,BUF,1,jamie,BAL,Incorrect,0
1,MIN @ CHI,MIN,2,jamie,MIN,Correct,2
1,DAL @ PHI,PHI,2,jennifer,PHI,Correct,2
1,KC @ LAC,LAC,2,jennifer,LAC,Correct,2
1,TB @ ATL,TB,1,jennifer,TB,Correct,1
1,CIN @ CLE,CIN,1,jennifer,CIN,Correct,1
1,MIA @ IND,IND,1,jennifer,MIA,Incorrect,0
1,LV @ NE,LV,1,jennifer,NE,Incorrect,0
1,ARI @ NO,ARI,1,jennifer,ARI,Correct,1
1,NYG @ WAS,WAS,1,jennifer,WAS,Correct,1
1,PIT @ NYJ,PIT,1,jennifer,PIT,Correct,1
1,CAR @ JAC,JAC,1,jennifer,JAC,Correct,1
1,TEN @ DEN,DEN,1,jennifer,DEN,Correct,1
1,SF @ SEA,SF,1,jennifer,SF,Correct,1
1,DET @ GB,GB,1,jennifer,DET,Incorrect,0
1,HOU @ LA,LA,1,jennifer,HOU,Incorrect,0
1,BAL @ BUF,BUF,1,jennifer,BAL,Incorrect,0
1,MIN @ CHI,MIN,2,jennifer,MIN,Correct,2
